"No","User Name","Review Count","Review Time","Rating","Review Text"
"72.","Berlian Arta Uli Hutajulu","9","2025-06-06","4","Ruangnya Meeting lumayan"
"73.","dyna anwar","5","2025-01-06","5","Hotel Khas Palu management By Hotel Indonesia Group"
"74.","nugrah setiadi","35","2025-07-06","5","baik"
"75.","Christian Pangaila","1","2025-04-06","4","Nyaman"
"76.","erik limbara","231","2025-01-06","5","Enak"
"77.","Denni Supriatna","1","2025-01-06","5","Hotel Baru ,Kamar Baru"
"78.","anindya","3","2025-12-06","5","N/A"
"79.","Ida Farichah","1","2025-09-06","5","N/A"
"80.","Benz Limawal Salim","4","2025-08-06","1","N/A"
"81.","Febriady Karaeng","30","2025-05-06","5","Pertahankan"
"82.","Maya Muse","2","2025-03-06","5","N/A"
"83.","Bernard Michael Marunduh","11","2025-01-06","5","N/A"
"84.","Meydy Rempowatu","4","N/A","4","Menginap di kamar standard cukup memuaskan. Hotel bersih, rapi, dan nyaman. Tempat tidur enak, toilet bagus, serta parkir memadai. Lokasi hotel agak masuk ke dalam, tapi secara keseluruhan hotel ini bagus dengan harga yang sangat bersahabat. Recommended untuk perjalanan bisnis maupun singgah singkat di Palu."
"85.","Nova Wahongan","7","N/A","5","Ini mahhh kerennn…super recommeded 😍"
"86.","al listi","8","2026-01-05","5","Recomended"
"87.","Camden Benson","1","2025-12-16","1","Ini bukan tempat menginap yang direkomendasikan. Konektivitas Wi-Fi bermasalah, membutuhkan waktu yang cukup lama untuk terhubung, dan kecepatannya sangat lambat. Pilihan hiburan terbatas, karena televisi hanya menyediakan akses YouTube. Kondisi kamar kurang memuaskan karena berdebu, dan unit pendingin udara mengeluarkan suara yang berlebihan. Hal ini mengakibatkan pengalaman keseluruhan yang buruk."
