"No","User Name","Review Count","Review Time","Rating","Review Text"
"18.","tiara sekar dewi","6","2025-12-05","5","lokasinya sangat strategis pas di simpanglima semarang. untuk kamarnya juga bersih, wangi sangat nyaman buat menginap. makanannya enak enak, gaada yg gaenak. staff hotelnya juga ramah ramah"
"19.","Alifian Dias","3","2025-12-05","5","Pelayanan yg sangat baik dr staff hotel Holiday Inn Express Semarang. Hotelnya bersih, menu breakfast juga enak dan memuaskan. Sangat rekomen sekali untuk menginap disini 👍"
"20.","tia andita","3","2025-12-05","4","Kamarnya nyaman enak nyaman ga horor sih tentunya lokasinya juga strategis kemana mana deket, tapi pas breakfast kursinya selalu rebutan dan penataannya agak lambat mungkin bisa di perbaiki"
"21.","hety mayasari","56","2025-11-05","5","Compact hotel, cocok untuk melepas penat setelah explore kota Semarang dan sekitarnya, atau perjalanan bisnis. Kamar nyaman, sarapan enak (variasi cukup untuk sarapan), lokasi strategis dekat simpang lima, staff ramah. Hanya untuk parkir sepertinya terbatas ya."
"22.","Ferdian Hanif Dwiananta","143","2025-11-05","5","Kamar dapat corner, city view. Keren, kamarnya nyaman, bersih. Hanya tidak ada shower jet. Layanan sangat baik, staf dari mulai satpam hingga di resto ramah dan sangat melayani. Lokasi strategis dekat dengan simpang lima."
"23.","Sunita Sriloka","5","2025-11-05","5","Saya inap di lantai 11, view nya bagus banget, kamarnya bersih, nyaman. Saya suka dengan pelayanannya, ramah staff staff nya. Saran, di bagian basement, ketika ada tamu menginap, baiknya didampingi, karena khusus tamu baru menginap, ada kebingungan parkir, ketika tidak satu security pun berjaga di basement. Over all pelayanannya sdh oke..."
"24.","prima S","4","2025-12-05","5","Kamarnya bersih, rapi dan wangi Petugasnya ramah Makanannya lumayan lengkap dan enak sekali Dekat simpang lima dan tempat belanja"
"25.","widjie ferdian","3","2025-12-08","5","hotel nyaman, pelayanan ramah dan cocok dan recomded, apalagi pas kamar hadap ke timur pagi hari bisa dapet sunrise ny perkotaan joss"
"26.","ucha annisaa","2","2025-12-05","5","fasilitasnya bagus, makanannya enak enak, yang paling aku suka karena ada hair dryernya sih. soalnya itu berguna untuk saya yg aktivitasnya padat tapi berhijab"
"27.","DIMAS LIGA","3","2025-09-05","5","Saya sangat puas menginap di Holiday Inn Express Semarang Simpang Lima. Lokasinya strategis, dekat dengan pusat kota dan area Simpang Lima, jadi sangat mudah untuk bepergian. Kamar bersih, nyaman, dan modern dengan fasilitas yang lengkap. Sarapannya enak dan bervariasi, staf hotel juga ramah serta sangat membantu. Suasana hotel tenang meski berada di tengah kota. Overall pengalaman menginap yang menyenangkan, pasti akan kembali lagi jika berkunjung ke Semarang."
"28.","agung ramadhan","1","2025-12-05","5","Kamar nyaman n bersih, cleaning service ramah, satu hal di lobby, untuk decir natal tahun ini tidak mewah tapi cukup bagus, cute. Love it"
"29.","abe lee","5","2025-08-05","1","Sangat kecewa dengan pengalaman menginap di hotel ini. Kamar kumuh , palfon kamar dan kmar mandi penuh jamur dan kurang bersih handuk sudah tidak putih dan baunya kurang enak. Tidak tersedia area parkir yang memadai, sangat merepotkan bagi tamu yang membawa kendaraan. Sarapan juga jauh dari ekspektasi — makanan sudah habis saat saya mau makan pukul 08.30 dan tidak ada usaha untuk mengisi ulang. Rasa makanannya pun kurang enak. Tidak merekomendasikan hotel ini. Biar foto yang menjelaskan"
"30.","Eka Budi Santosa","1882","2025-12-08","5","Kamar luas dan nyaman, pelayanan ramah, temapt mudah ditemukan, dekat dengan simpang lima, menu sarapan enak, parkir luas"
"31.","Malik Akhtar Atahullah","2","2025-12-29","4","Untuk Kamarnya Cukup Bersih Dan Room Servicenya Juga Gercep. Untuk Makanannya Sih Juga Oke Dan Pas."
"32.","Imelda Destika","1","2025-11-05","5","Lokasi ditengah kota,dekat dengan semua akses,sarapan enak dan beragam,overall nyaman menginap disini......Semoga semakin baik kedepan,"
"33.","David DEVAYANA","93","2025-10-05","5","Sy order lt 15, smoking allowed class, kamar bersih, wifi strong, view bagus, las kamar stamdart saja tapi cukup utk kategori business travelling. Lokasi strategis dekat simpang lima dan mall citraland"
"34.","Dyah Retno","18","2025-12-05","5","Hotel bintang 3, yang nyaman bersih dan rapi Untuk sarapan Makanan nya enak Lokasi strategis dekat mau kemana aja Mau cari oleh2 dan temapt wisata pun dekat"
"35.","Nap peck","4","2025-12-05","5","Tempat strategis,ambil yang type kamar city view glassroom sangat recomended,menu breakfast lumayan lengkap."
"36.","Noor Fadhilah","2","2025-11-05","4","Untuk layanan kamar baiknya ditingkatkan umtuk peralatan makan dan setrika bisa di antar ke masing2 kamar sesuai kebutuhan"
"37.","Rizki Tri Adina","3","2025-10-05","5","Pelayanan para staff nya ramah, proses cek in juga cepat dan kamar yang luas, bersih dan pemandangan dari kamar langsung ke jalanan kota. Makanan yang tersedia saat bf juga beragam dan lezat"
"38.","Adisty Septiza","2","2025-11-05","5","Kamarnya bagus dan nyaman, AC sentral yang dingin dengan cepat dan air dengan tekanan yang baik, sarapan enak, pelayanan baik dan menyenangkan, really recommend to stay on holiday"
"39.","yedida krisetyowati","13","2025-08-05","5","kamarnya luas , ac dingin , kamar mandi bersih, sarapannya lumayan enak walaupun variasi nya tidak begitu banyak tp worth it dengan harganya yg termasuk ramah dikantong namun untuk baby chairnya syg bgt tidak di bersihkan dlu saat di berikan ke saya 🙂. namun staff nya ramah ramah"
"40.","Muktiningsih Wardani","8","2025-12-05","5","Kamar view citylight, fasilitas lengkap breakfast oke, mungkin bisa ditambahkan stall indomie hehe, overall oke👌🏻👍🏻"
"41.","Sardin edo","1","2025-10-05","5","Hotelnya bersih, kamarnya rapi serta pegawainya ramah.. letaknya strategis di simpang lima jdi bisa wisata kuliner di sekitar hotel"
"42.","Retno Budiyanti","159","2025-12-05","5","Bagus banget kamarnya, request city view. 👍🏻 Sarapannya best! Komplit banget. Enak-enak semua."
"43.","M Irianada","4","2025-12-29","5","Kamar nyaman,pelayanan sangat bagus Lain kali pasti mampir ke sini lagi."
"44.","Agnesia Julita","4","2025-12-29","5","Kamar bersih, wifi lancar, sarapan enak, staff nya ramah dan helpful"
"45.","Rheynhold Michael Apping","5","2025-10-05","5","Fasilitas yang disediakan sangat baik dan bisa digunakan 24jam, pelayanannya juga oke, view dari kamar juga cakep apalagi kalau sunrise, makanannya enak."
"46.","PUTRI","2","2025-11-05","5","Lokasinya strategis deket simpang lima, layanannya ramah, sarapannya juga enak, kamarnya juga nyaman, recomended 👍"
"47.","purwina ningrum","2","2025-11-05","5","Pelayanan sangat baik.terutama bagian Front office 👍👍👍👍, yg sangat membantu perbaikan data dan registrasi saat ada kendala di tanggal booking via aplikasi."
"48.","Las3 Ade","2","2025-12-05","5","Pelayanan ramah,. fasilitas kamar bagus, rapi, bersih dan nyaman,.untuk menu makanan enak & bervariasi"
"49.","Desy Sumarwati","4","2025-09-05","5","Dr bawa langsung bertemu lift, lobby ada di lt.2 , hotel yg cukup nyaman lokasi strategis utk bisnis. Tersedia radio dlm kamar oke"
"50.","Jeny Majangkorie Marlina","2","2025-11-05","5","Alhamdulillah pelayanan dan makana, kamar ok semua trimk holidayiin semarang Trimk jg pada kak Naida ramah bgt org"
