User Name,Review Count,Rating,Review Text
Iga Octaviana,59,4,pengalaman yang menyenangkan menginap di harper kamarnya bersih lokasi mudah dijangkau varian breakfast lumayan banyak namun untuk rasanya perlu ditingkatkan lagi tapi yang perlu diperbaiki di kolam renang tidak ada kolam khusus anak anak dan pada saat saya kesana tidak ada staf sama sekali di kolam renang handukpun tidak disediakan ezii
yeni setyowati,1,5,sarapan di resto nya bervarian joss menu untuk keluarga kamarnya juga full nyaman dan pelayanan baik dibantu cekout mas ezii terimakasih
Aqmal Nugra,14,5,sangat disarankan untuk menginap di hotel ini dengan kebersihan kamar service dari reception mas ezii dan sarapan yang luar biasa kebijakan hotel yang tidak menggunakan lagi botol plastik juga menjadi poin tambah untuk saya
Yunica Rahmayanti,2,5,pelayanannya bagus kamarnya nyaman makanannya enak dan variasi saya di bantu mbak sherly yang sangat ramah sekali
Vania N,6,5,untuk breakfast lunch dan snack meetingnya oke banget variasinya banyak dan anti mainstream sayangnya dapet kamar yang agak bau toilet pesing akses ke transportasi publiknya juga sangat mudah karena posisi hotel sebelahan dengan jembatan ke lrt tj ezii
Paisal Akbar,1,5,kamarnya cukup luas dan bersih toiletnya lokasi dekat stasiun lrt pelayanan baik cekout dibantu mas ezii reception
Khusus Pes,1,5,kamar mandi di hotel ini sangat bersih dan wangi air panas dan air dingin berfungsi dengan baik pelayanan nya ramah perlengkapan seperti handuk sabun sampo dan sikat gigi tersedia lengkap
Elenci ncii,1,5,hotel ini sangat bagus mulai dari kamar yang nyaman dan bersih dan pelayanan nya baik dan staff staffnya juga sangat baik dan ramah pokonya the best dehh sherly reseption
Joss Mew,1,5,nginep di sini bikin tenang karena kebersihannya terjaga kamar rapi bathroom bersih dan wangi perlengkapannya lengkap housekeeping nya profesional dan ramah pelayanannya mantap
Widya Yopita,4,5,tempat menginap yang worth it lah kamar luas bersih wangi pelayanan oke kemaren dibantu sama mba andin resepsionis yang ramah breakfast nya enak enak dan banyak variasi best
Kasih Kilua,5,5,menginap di kamar 216 dapat kamar deluxe kamarnya luas nyaman temaram dan cocok untuk istirahat breakfastnya variatif dan enak² pelayanan staffnya ramah² terimakasih mba andin sudah membantu check masuk dan check keluar saya
Agung Prihadi Wicaksono,8,5,hotel yang sangat bagus sesuai dengan rating bintang nya pelayan salah satu petugas hotel ibu sherly yang ramah baik dengan sabar membantu memberikan informasi untuk menu sarapan juga variatif dan rasa enak
Rasyid Hilmy,4,5,pelayanan baik lokasi mudah dijangkau hanya asa sedikit kendala pada utilities di toilet yaitu hairdryer perlu diperbaiki ezi
Elza yulinar puteri kesuma,1,5,nyaman banget selama stay dihotel ini kamarnya selalu bersih dan rapi sama kamar mandinya juga terjaga
Fajaria Menur Widowati,5,5,kamar nya bersih dan nyaman ac dingin air panas lancar makanannya banyak pilihan pelayanan ramah terutama untuk mbak sherly
ade purbasari,2,5,kami menginap disini karena dekat dengan rs pon adik sedang dirawat baca review di google kamar lumayan luas bersih harum staff yang ramah seperti sherly breakfastnya top selengkap itu variatif dan enak
Muhammad Zulfikar,28,2,saya sangat kecewa kamar saya ac nya tidak bisa dikecilin atau dimatiin sudah hubungin housekeeping nunggu 1 jam tidak dateng2 juga mana suhunya 18 derajat bisa sakit pelanggan kalau lambat kayak gitu pelayanannya tolong diperbaiki pelayanannya
Muhammad Ikfi Afandi,5,5,kamar luas dan nyaman kamar mandi bersih air panas oke kasur dan bantal luar biasa ambient ruangan luar biasa cuma mungkin bisa d tambah karper biar lantai tidak dingin terimakasih harper ezii
Muaz Ramadhan,22,5,lokasinya saat banget kalau mau berkegiatan di sekitar jakarta timur atau pusat plusnya juga gampang naik lrt karena ada jembatan menghubungkan ke stasiun lrt pilihan makan cukup baik pelayanan baik staffnya juga responsif dan ramah sukses terus untuk mbak andin dan semua staff harper
Elisabeth Chrisando,2,5,hotel nya oke kita booked 2rooms 1room r 616 ac tidak sedingin di r 630 breakfast variatif tergolong enak sudah santai keliling hotel via gedung sebelah mau kembali ke room via pintu dekat swimming pool tapi tidak ada info bahwa pintu hotel disamping toilet pool kami berpikir pintu access ke apartment adalah pintu access hotel after all 2malam disini sangat membantu urusan kami thanks harper esp bp ezi untuk bantuan cek keluar nya
Belisa Karniaputri,2,5,kamarnya nyaman dan cukup luas cocok untuk bareng keluarga pelayanan baik dan ramah cek keluar dibantu mas ezii
Humaira Qurrota A'Yun,1,5,kamar bersih breakfast lengkap dan ramah anak pelayanan ramah izin check keluar setelah shalat dzuhur dibantu ka sherly
Stok lumayan,1,5,hotel yang sangat nyaman kamar bersih pelayanan ramah dan fasilitas lengkap lokasi strategis dekat dengan pusat kota jadi mudah kemana mana sarapan juga enak dengan banyak pilihan menu sangat direkomendasikan untuk liburan maupun perjalanan bisnis
Reyzha Bagas,1,5,pengalaman yang sangat menyenangkan bisa menginap di hotel harper mt haryono selain staf nya ramah kamarnya juga bersih serta diarea bathroom juga sangat baik akses mudah untuk naik transportasi jakarta dan fasilitas kamar berfungsi dengan baik good
Ahmad Rasyidi Fajrin,5,5,salah satu hotel favorit kalau ke jkt karena dekat dengan kantor dan makanannya enak kamar nya bersih ac nya dingin air panasnya lancar pasti lebih oke kalau sprei dan selimut nya ada peremajaan sptnya sudah mulai kusam sherly
ervilia krishartanti,6,5,kunjungan kerja bermalam di harper di upgrade room ke suite kamarnya luas dan breakfastnya banyak macam nasi goreng kecombrang yang saya pilih rasanya enak sekali dibantu check keluar bapak ezy
Ani Hadini,25,5,lokasi dekat dengan stasiun kcic halim sangat memudahkan bagi orang bandung yang berkegiatan di sekitaran jakarta timur service excellent thanks to mas ezii makanan variatif tidak bosenin apalagi buat kita yang meeting cb nya enak enak
